Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
dozy,-3.626015,-.2062678,-.2800685,-1.995071,-2.033303,000
pacer,-4.552394,-.0417488,-.2925443,-2.934381,-1.333186,001
billow,-2.963799,-1.409623,1.91489,-2.67942,.3140481,002
frisky,-1.965574,-.9191979,.4310203,-1.609649,-1.77529,010
suave,-2.017872,-1.632811,.5370943,-1.144527,-1.212109,011
tinny,-2.390523,-1.515916,2.453221,-1.8899,-.563844,012
shale,-1.440324,-1.987198,5.268836,-2.08063,-1.654306,020
ledge,-.5875649,-1.80297,2.514323,-1.451921,-1.012834,021
ascend,-1.497512,-1.148267,.4941599,-1.3128,.946127,022
cougher,-5.06151,.5610193,-.2984647,-2.429925,-1.967484,100
entwine,-3.130663,-.5846775,-.2793333,-1.99206,-.809538,101
misprint,-2.989161,-.0838801,-.2861513,-2.182146,-.684821,102
leaguer,-2.60913,.8577061,-.3088056,-3.589053,-1.998234,110
fallback,-2.652154,-.6804419,.008394,-2.140825,-1.426976,111
clamber,-2.611438,-.814235,.1404773,-1.836763,-.6691644,112
euphoria,-1.545526,.1637209,-.1194182,-1.066081,-2.077539,120
evident,.2895825,-.4065103,-.2971703,1.339418,-1.125836,121
priority,.3233969,.2118059,-.3200239,-.2031269,-.473713,122
indestructibility,-3.956244,-.3030862,-.2721113,-3.33776,-1.957229,200
crossbreed,-3.494509,.4060198,-.2863185,-2.033374,-.8920556,201
barebacked,-5.090143,-1.139997,.5065364,-3.265411,-.683337,202
undiluted,-2.763465,.6911781,-.3170646,-1.508151,-2.043801,210
waistcoat,-2.124571,.1951097,-.3063287,-1.56304,-1.360021,211
positivity,-2.808845,.0082433,-.2907629,-3.482073,-.6115408,212
advisable,-1.450571,.2825811,-.3080136,.2734636,-1.696078,220
undergraduate,-.5557775,2.013928,-.3859726,-1.742549,-1.507506,221
extraction,-.7537477,.3973778,-.3081712,-.4218931,.1096382,222
