Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata5
amice,-4.692659,-1.203697,-.0012777,-3.645205,-1.974406,000
hoper,-4.793832,-.4947612,-.0655367,-3.562396,-1.807308,001
tagger,-4.886124,-.5652619,-.0636937,-2.634097,-1.919168,100
mot,-4.434381,-.2959429,-.2716779,-2.275944,-.8660908,003
snood,-3.682973,-.4657298,-.2261143,-1.552807,-1.235287,002
dale,-3.194179,-2.199359,12.97589,-.5708058,.0158223,014
aka,-4.129117,-1.558927,1.212197,-1.422893,-.0615163,004
carer,-2.689351,.224266,-.2907864,-4.881914,-2.151351,010
morel,-2.595095,-1.245606,.7317144,-4.092278,-1.821542,021
skimpy,-1.932652,-.8819614,.4206121,-1.818193,-1.683919,131
posh,-2.150718,-1.978667,5.879722,-2.162591,-1.903257,020
grimy,-1.790327,-1.237576,.1823775,-1.088885,-1.930367,030
loam,-2.162945,-2.007444,4.020283,-2.4103,-1.454281,022
dote,-2.771081,.3775384,.6755367,-2.182152,-1.103442,012
bebop,-2.792963,-.931863,-.2600124,-3.287467,-1.540221,011
nuzzle,-2.423439,-1.317489,2.325545,-1.168515,-.0970843,124
vouch,-2.115385,-1.162647,4.800669,-.6723607,.1485211,024
seer,-2.300032,-2.234185,5.648415,-1.226426,-.3246405,023
slaver,-2.828672,-1.241492,1.543371,-1.140291,.0031727,114
assail,-2.677329,-1.200724,-.2074015,-.8274194,-.7168118,113
jeer,-2.797605,-2.008305,4.394284,-1.783342,-.673753,013
aspen,-1.493657,-1.193941,-.0641003,-1.384138,-1.731255,031
vodka,-.9365618,-.9994926,-.2661715,-2.064772,-1.936461,040
micro,-1.037461,-.1648807,-.2999724,.0452613,-1.731389,041
whim,-1.222605,-1.797362,4.196152,-.2113893,-.9371341,032
motto,-.747601,-1.449193,.6488004,.3185544,-1.214453,042
palate,-1.345629,-1.189633,1.128883,-1.465647,-1.15356,132
spree,-1.413012,-1.533569,-.1791883,-.7717319,-.482628,033
casing,-1.323377,-1.252677,3.836438,-1.335879,.4750958,134
marsh,-.8270309,-1.594071,1.195063,-.3130526,-.6357109,043
tout,-1.506581,-2.09401,4.895645,-1.925933,.7755244,034
rebel,.0050966,-1.525872,.6615299,-1.174516,.7509655,044
fluent,-1.071353,-.9805624,-.2626203,-.1543601,-.441672,143
stucco,-1.640531,-.9909177,-.2713565,-2.261812,-.4985116,133
flitter,-3.380955,1.176335,-.3037868,-.8297628,-1.662022,101
outtake,-3.128854,-.251548,.3299026,-4.035051,-1.736174,111
rankness,-4.761831,1.234129,-.329701,-3.690942,-2.272146,200
laggard,-3.018999,-.8097398,.4272968,-2.071455,-.9648522,112
inductee,-3.025188,.7138218,-.30475,-2.637268,-1.253912,212
vinegary,-3.376553,-.27132,1.954785,-1.917867,-1.021118,202
takedown,-2.988822,-1.534729,-.009175,-1.961784,-.8124816,213
copybook,-3.296597,.0690228,-.3077542,-4.909468,-1.544977,211
minable,-4.983194,-1.506486,.1412577,-2.90717,-1.050722,102
evitable,-4.753066,-1.065141,-.0104463,-1.939727,-1.571682,201
justness,-3.691686,-.2223886,-.280344,-2.410171,-.7781588,203
pardoner,-4.71489,-.3469275,.4465726,-1.871889,-.2118235,204
phaeton,-3.998108,.3247118,-.1984265,-2.051164,-.6090613,103
presoak,-4.01602,-1.127937,-.0305308,-1.575354,-.2281056,104
wariness,-2.293069,2.383317,-.3876059,-1.930653,-1.965045,220
outsized,-2.839901,-.2164458,-.2723026,-2.758831,-2.26042,210
mindset,-2.828227,-1.602335,4.167758,-3.317668,-2.084954,110
upscale,-2.200301,1.815257,-.3551147,-2.367228,-2.097391,120
hearted,-2.600469,-.6937928,2.426095,-.8295003,-1.352012,122
asterisk,-1.91527,.0805048,-.3082528,-1.604382,-.8560211,233
jubilant,-2.125544,.3056198,-.3069885,-.2192362,-1.49488,221
mallard,-2.079475,-.8122758,-.0440232,-2.869712,-1.618191,121
falsity,-2.160618,-.2788548,-.1037948,-1.78089,-.8345116,123
sheepish,-2.181551,-.608196,-.0832024,-.8456919,-1.25173,222
clincher,-2.25624,-.487959,.5582607,-3.028706,-.3739266,223
fineness,-2.755617,-.4857047,-.2746037,-2.264886,.2502056,214
relegate,-2.283175,-.2795168,-.1015692,-1.098322,-.1171589,224
