Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
mayday,-2.7911487,-1.0297656,0.50255084,-3.2399402,-2.1265793,000
takedown,-2.9888215,-1.5347285,-0.0091750296,-1.961784,-0.81248164,001
sketcher,-4.1090536,-1.4996562,1.5513377,-1.1810747,-0.53859925,002
pesky,-1.6862575,-1.2786086,0.17891787,-2.8064563,-1.9947914,010
sleet,-1.7334677,-1.720241,3.5773776,-1.188315,-0.66451919,011
sheeting,-2.362329,-0.98412085,0.5653879,-2.1939085,-0.30610603,012
ravine,-1.2884454,-1.0621027,0.31280762,-1.7417262,-1.686998,020
rink,-1.0814127,-1.9643719,6.4608345,-1.8327763,-1.0755664,021
fringe,-0.43844062,-1.3025352,0.5908972,0.44836539,1.0872111,022
schnitzel,-3.1940296,0.001084813,-0.29493448,-3.8250847,-2.1333725,100
misspent,-3.0503821,0.126407,-0.24782193,-2.6606159,-1.4000466,101
leavings,-3.0874074,-0.60018563,0.61552197,-0.73844826,0.79554945,102
insightful,-1.7445263,-0.36488044,-0.22711881,-1.9836369,-1.8787961,110
marinade,-2.3173776,-0.052784573,0.34423459,-5.1298876,-1.0352496,111
conspire,-1.9940516,-0.37568825,-0.2903167,-0.1405337,-0.53680879,112
madame,-1.0939652,0.16006927,-0.29884484,-1.7751597,-1.7762896,120
atheist,-1.3603398,-0.47015309,-0.069605134,-1.7980509,-1.1573063,121
recommend,0.49649897,0.14248581,-0.31747574,0.81963605,-0.077665061,122
untraditional,-3.3913484,1.9251517,-0.36559212,-2.7547233,-2.3204966,200
employable,-2.8059659,0.42370218,-0.30443805,-2.8223624,-1.1398649,201
nonpayment,-3.0986927,0.76401675,-0.31587473,-1.5334177,-0.49820709,202
serviceman,-2.0544493,0.8088004,-0.33532336,-3.6603274,-1.8535609,210
wakefulness,-2.4103487,0.72059649,-0.31215632,-2.1075385,-0.69349444,211
testimonial,-1.7863636,1.4725184,-0.3571282,-0.85135788,0.21857642,212
unrealistic,-0.9524796,1.4887272,-0.34918097,0.75286537,-1.8187767,220
appreciative,-1.33334,1.4569938,-0.3222751,-0.12229245,-1.2680261,221
emptiness,-0.95654291,0.24744841,-0.31045225,-1.1794621,0.22224547,222
